,created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1,created_at
,2020-07-09 11:34:08,Liverpool,697325,594,Liverpool FC,Liverpool,0,LivEchoLFC,#liverpoolfc OR #YNWA OR #LFC,This is a strange claim  #LFC  https://t.co/U1Cj86w2xj,1281189890936504320,Liverpool FC News,-0.2023,EPL,Liverpool,
,2020-07-09 11:33:52,Liverpool,2348,2907,Liverpool FC,Huyton,65,ged11lfc,#liverpoolfc OR #YNWA OR #LFC,RT @TheKopiteOFF: 😱| #LFC have won 30 of their 34 Premier League games this season - the fastest any side has ever reached 30 wins in a sea…,1281189827468279808,Ged Smith,0.8316,EPL,Liverpool,
,2020-07-09 11:33:52,Liverpool,465,177,Liverpool FC,"Accra, Ghana",32,calvin_winzy,#liverpoolfc OR #YNWA OR #LFC,RT @SkySportsPL: 🔴 - #LFC secure first away win since February 📈 - #AFC suffer heavy European blow but enjoy glimmers of improvement 🦊 - #L…,1281189824465174528,DADA BA♐,0.8793,EPL,Liverpool,
,2020-07-09 11:33:50,Liverpool,334,1524,Liverpool FC,,0,Rurs1,#liverpoolfc OR #YNWA OR #LFC,Outrageous... Poor auld Martin Tyler has to just ignore it... not a word about it 😂 #YNWA #VanDijk… https://t.co/EC0eFZZ1Mp,1281189816890245121,Ruairi Nolan,-0.6808,EPL,Liverpool,
,2020-07-09 11:33:31,Liverpool,760,1264,Liverpool FC,"Kildare, Ireland 🇮🇪",176,LSHighVoltage,#liverpoolfc OR #YNWA OR #LFC,RT @TheRedmenTV: ✅ Won the league ✅ Fastest team to win 30 games in 132 year history ✅ 92 points from 102 ✅ Salah - 100 goal contributions…,1281189739618611200,🇮🇪 David D'Arcy 🇮🇪,0.8176,EPL,Liverpool,
,2020-07-09 11:33:28,Liverpool,412,1144,Liverpool FC,"Cape Town, South Africa",105,venom1892,#liverpoolfc OR #YNWA OR #LFC,RT @MelissaReddy_: Naby Keita with an all-action midfield masterclass meets the mastery of Mo Salah: 129 goals in 148 appearances across al…,1281189724464525313,vernon wilson,0.0,EPL,Liverpool,
,2020-07-09 11:33:21,Liverpool,156,161,Liverpool FC,Damansara,206,sattexe,#liverpoolfc OR #YNWA OR #LFC,RT @BenWebbLFC: 92 points with four games left. 23 points ahead of 2nd. What a team this is.  Wasn’t that long ago we were fighting in the…,1281189694970068992,𝓷𝓮𝓸,-0.3612,EPL,Liverpool,
,2020-07-09 11:33:20,Liverpool,647,450,Liverpool FC,"Karachi, Pakistan",147,UsmanMu79813,#liverpoolfc OR #YNWA OR #LFC,RT @StanChart: Use #StandRed in your Tweets of support for @LFC and we'll take them to the Trophy Celebrations at Anfield! CONGRATULATIONS…,1281189690704609282,MUHAMMAD USMAN💵💰🥰,0.4574,EPL,Liverpool,
,2020-07-09 11:33:16,Liverpool,65,101,Liverpool FC,,0,alixchase,#liverpoolfc OR #YNWA OR #LFC,"My boys, breaking all the records #Unbearables #Champions #YNWA https://t.co/JC1xR12zXT",1281189675739176960,Alix,0.0,EPL,Liverpool,
,2020-07-09 11:33:13,Liverpool,3291,3095,Liverpool FC,Somewhere Far,60,Nanapercy_,#liverpoolfc OR #YNWA OR #LFC,"RT @LFCTransferRoom: James Pearce on Thiago to #LFC rumors: ""I think is one to keep an eye on, because when someone like that is available…",1281189664163061767,Mr. Percy👽,0.3612,EPL,Liverpool,
