,neutral,rank_x,weighted_points_x,rank_y,weighted_points_y,weighted_diff,rank_diff,label
0,1,153.75,145.775,183.0,64.91250000000001,80.8625,-29.25,1
1,0,160.0,118.68,183.0,64.91250000000001,53.7675,-23.0,1
2,0,160.0,118.68,173.0,92.05,26.63000000000001,-13.0,1
3,1,199.0,15.1775,173.0,92.05,-76.8725,26.0,0
4,1,188.5,35.849999999999994,173.0,92.05,-56.2,15.5,0
5,0,160.0,118.68,188.5,35.849999999999994,82.83000000000001,-28.5,1
6,1,179.25,74.62,188.5,35.849999999999994,38.77000000000001,-9.25,1
7,1,199.0,15.1775,188.5,35.849999999999994,-20.672499999999992,10.5,0
8,0,160.0,118.68,199.0,15.1775,103.50250000000001,-39.0,1
9,0,189.75,37.1875,199.0,15.1775,22.009999999999998,-9.25,1
10,0,160.0,118.68,179.25,74.62,44.06,-19.25,0
11,0,160.0,118.68,179.25,74.62,44.06,-19.25,1
12,1,199.0,15.1775,179.25,74.62,-59.4425,19.75,0
13,1,173.0,92.05,179.25,74.62,17.429999999999993,-6.25,1
14,1,189.5,34.0,196.0,14.6275,19.372500000000002,-6.5,1
15,1,199.0,15.1775,196.0,14.6275,0.5500000000000007,3.0,0
16,1,183.0,64.91250000000001,196.0,14.6275,50.28500000000001,-13.0,1
17,0,189.75,37.1875,196.0,14.6275,22.560000000000002,-6.25,1
18,1,195.0,23.8,196.0,14.6275,9.172500000000001,-1.0,1
19,1,189.5,34.0,153.75,145.775,-111.775,35.75,0
20,1,179.25,74.62,153.75,145.775,-71.155,25.5,1
21,1,183.0,64.91250000000001,153.75,145.775,-80.8625,29.25,1
22,1,196.0,14.6275,153.75,145.775,-131.1475,42.25,0
23,1,199.0,15.1775,195.0,23.8,-8.6225,4.0,1
24,0,189.75,37.1875,195.0,23.8,13.3875,-5.25,0
25,1,183.0,64.91250000000001,189.5,34.0,30.91250000000001,-6.5,0
26,0,72.75,302.07,14.25,745.9375,-443.8675,58.5,0
27,0,54.0,481.4425,14.25,745.9375,-264.495,39.75,0
28,0,72.75,302.07,54.0,481.4425,-179.3725,18.75,0
29,0,121.75,232.4275,54.0,481.4425,-249.015,67.75,0
30,0,204.0,0.0,45.5,471.53999999999996,-471.53999999999996,158.5,0
31,0,24.25,669.855,45.5,471.53999999999996,198.31500000000005,-21.25,1
32,0,40.0,393.42499999999995,45.5,471.53999999999996,-78.11500000000001,-5.5,0
33,0,204.0,0.0,24.25,669.855,-669.855,179.75,0
34,0,12.5,749.1775,24.25,669.855,79.32249999999999,-11.75,0
35,0,58.0,414.37,24.25,669.855,-255.485,33.75,0
36,0,90.25,334.73,162.25,96.4175,238.3125,-72.0,1
37,0,93.5,322.70750000000004,162.25,96.4175,226.29000000000002,-68.75,0
38,0,116.0,209.9475,162.25,96.4175,113.52999999999999,-46.25,1
39,0,90.25,334.73,93.5,322.70750000000004,12.02249999999998,-3.25,1
40,0,162.25,96.4175,93.5,322.70750000000004,-226.29000000000002,68.75,0
41,0,21.0,652.2825,121.25,207.2525,445.03000000000003,-100.25,1
42,0,97.25,263.4975,121.25,207.2525,56.245000000000005,-24.0,1
